number,ja-Hrkt,en,it,es,de,fr,ko,zh-Hans,zh-Hant
0001,フシギダネ,Bulbasaur,Bulbasaur,Bulbasaur,Bisasam,Bulbizarre,이상해씨,妙蛙种子,妙蛙種子
0002,フシギソウ,Ivysaur,Ivysaur,Ivysaur,Bisaknosp,Herbizarre,이상해풀,妙蛙草,妙蛙草
0003,フシギバナ,Venusaur,Venusaur,Venusaur,Bisaflor,Florizarre,이상해꽃,妙蛙花,妙蛙花
0004,ヒトカゲ,Charmander,Charmander,Charmander,Glumanda,Salameche,파이리,小火龙,小火龍
0005,リザード,Charmeleon,Charmeleon,Charmeleon,Glutexo,Reptincel,리자드,火恐龙,火恐龍
0006,リザードン,Charizard,Charizard,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍
0007,ゼニガメ,Squirtle,Squirtle,Squirtle,Schiggy,Carapuce,꼬부기,杰尼龟,傑尼龜
0008,カメール,Wartortle,Wartortle,Wartortle,Schillok,Carabaffe,어니부기,卡咪龟,卡咪龜
0009,カメックス,Blastoise,Blastoise,Blastoise,Turtok,Tortank,거북왕,水箭龟,水箭龜
0010,キャタピー,Caterpie,Caterpie,Caterpie,Raupy,Chenipan,캐터피,绿毛虫,綠毛蟲
0011,トランセル,Metapod,Metapod,Metapod,Safcon,Chrysacier,단데기,铁甲蛹,鐵甲蛹
0012,バタフリー,Butterfree,Butterfree,Butterfree,Smettbo,Papilusion,버터플,巴大蝶,巴大蝶
0013,ビードル,Weedle,Weedle,Weedle,Hornliu,Aspicot,뿔충이,独角虫,獨角蟲
0014,コクーン,Kakuna,Kakuna,Kakuna,Kokuna,Coconfort,딱충이,铁壳蛹,鐵殼蛹
0015,スピアー,Beedrill,Beedrill,Beedrill,Bibor,Dardagnan,독침붕,大针蜂,大針蜂
0016,ポッポ,Pidgey,Pidgey,Pidgey,Taubsi,Roucool,구구,波波,波波
0017,ピジョン,Pidgeotto,Pidgeotto,Pidgeotto,Tauboga,Roucoups,피죤,比比鸟,比比鳥
0018,ピジョット,Pidgeot,Pidgeot,Pidgeot,Tauboss,Roucarnage,피죤투,大比鸟,大比鳥
0019,コラッタ,Rattata,Rattata,Rattata,Rattfratz,Rattata,꼬렛,小拉达,小拉達
0020,ラッタ,Raticate,Raticate,Raticate,Rattikarl,Rattatac,레트라,拉达,拉達
0021,オニスズメ,Spearow,Spearow,Spearow,Habitak,Piafabec,깨비참,烈雀,烈雀
0022,オニドリル,Fearow,Fearow,Fearow,Ibitak,Rapasdepic,깨비드릴조,大嘴雀,大嘴雀
0023,アーボ,Ekans,Ekans,Ekans,Rettan,Abo,아보,阿柏蛇,阿柏蛇
0024,アーボック,Arbok,Arbok,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪
0025,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘
0026,ライチュウ,Raichu,Raichu,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘
0027,サンド,Sandshrew,Sandshrew,Sandshrew,Sandan,Sabelette,모래두지,穿山鼠,穿山鼠
0028,サンドパン,Sandslash,Sandslash,Sandslash,Sandamer,Sablaireau,고지,穿山王,穿山王
0029,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多兰,尼多蘭
0030,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜
0031,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后
0032,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗
0033,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,尼多力诺,尼多力諾
0034,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王
0035,ピッピ,Clefairy,Clefairy,Clefairy,Piepi,Melofee,삐삐,皮皮,皮皮
0036,ピクシー,Clefable,Clefable,Clefable,Pixi,Melodelfe,픽시,皮可西,皮可西
0037,ロコン,Vulpix,Vulpix,Vulpix,Vulpix,Goupix,식스테일,六尾,六尾
0038,キュウコン,Ninetales,Ninetales,Ninetales,Vulnona,Feunard,나인테일,九尾,九尾
0039,プリン,Jigglypuff,Jigglypuff,Jigglypuff,Pummeluff,Rondoudou,푸린,胖丁,胖丁
0040,プクリン,Wigglytuff,Wigglytuff,Wigglytuff,Knuddeluff,Grodoudou,푸크린,胖可丁,胖可丁
0041,ズバット,Zubat,Zubat,Zubat,Zubat,Nosferapti,주뱃,超音蝠,超音蝠
0042,ゴルバット,Golbat,Golbat,Golbat,Golbat,Nosferalto,골뱃,大嘴蝠,大嘴蝠
0043,ナゾノクサ,Oddish,Oddish,Oddish,Myrapla,Mystherbe,뚜벅쵸,走路草,走路草
0044,クサイハナ,Gloom,Gloom,Gloom,Duflor,Ortide,냄새꼬,臭臭花,臭臭花
0045,ラフレシア,Vileplume,Vileplume,Vileplume,Giflor,Rafflesia,라플레시아,霸王花,霸王花
0046,パラス,Paras,Paras,Paras,Paras,Paras,파라스,派拉斯,派拉斯
0047,パラセクト,Parasect,Parasect,Parasect,Parasek,Parasect,파라섹트,派拉斯特,派拉斯特
0048,コンパン,Venonat,Venonat,Venonat,Bluzuk,Mimitoss,콘팡,毛球,毛球
0049,モルフォン,Venomoth,Venomoth,Venomoth,Omot,Aeromite,도나리,摩鲁蛾,摩魯蛾
0050,ディグダ,Diglett,Diglett,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠
0051,ダグトリオ,Dugtrio,Dugtrio,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠
0052,ニャース,Meowth,Meowth,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵
0053,ペルシアン,Persian,Persian,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大
0054,コダック,Psyduck,Psyduck,Psyduck,Enton,Psykokwak,고라파덕,可达鸭,可達鴨
0055,ゴルダック,Golduck,Golduck,Golduck,Entoron,Akwakwak,골덕,哥达鸭,哥達鴨
0056,マンキー,Mankey,Mankey,Mankey,Menki,Ferosinge,망키,猴怪,猴怪
0057,オコリザル,Primeape,Primeape,Primeape,Rasaff,Colossinge,성원숭,火暴猴,火爆猴
0058,ガーディ,Growlithe,Growlithe,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗
0059,ウインディ,Arcanine,Arcanine,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗
0060,ニョロモ,Poliwag,Poliwag,Poliwag,Quapsel,Ptitard,발챙이,蚊香蝌蚪,蚊香蝌蚪
0061,ニョロゾ,Poliwhirl,Poliwhirl,Poliwhirl,Quaputzi,Tetarte,수륙챙이,蚊香君,蚊香君
0062,ニョロボン,Poliwrath,Poliwrath,Poliwrath,Quappo,Tartard,강챙이,蚊香泳士,蚊香泳士
0063,ケーシィ,Abra,Abra,Abra,Abra,Abra,캐이시,凯西,凱西
0064,ユンゲラー,Kadabra,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
0065,フーディン,Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,胡地,胡地
0066,ワンリキー,Machop,Machop,Machop,Machollo,Machoc,알통몬,腕力,腕力
0067,ゴーリキー,Machoke,Machoke,Machoke,Maschock,Machopeur,근육몬,豪力,豪力
0068,カイリキー,Machamp,Machamp,Machamp,Machomei,Mackogneur,괴력몬,怪力,怪力
0069,マダツボミ,Bellsprout,Bellsprout,Bellsprout,Knofensa,Chetiflor,모다피,喇叭芽,喇叭芽
0070,ウツドン,Weepinbell,Weepinbell,Weepinbell,Ultrigaria,Boustiflor,우츠동,口呆花,口呆花
0071,ウツボット,Victreebel,Victreebel,Victreebel,Sarzenia,Empiflor,우츠보트,大食花,大食花
0072,メノクラゲ,Tentacool,Tentacool,Tentacool,Tentacha,Tentacool,왕눈해,玛瑙水母,瑪瑙水母
0073,ドククラゲ,Tentacruel,Tentacruel,Tentacruel,Tentoxa,Tentacruel,독파리,毒刺水母,毒刺水母
0074,イシツブテ,Geodude,Geodude,Geodude,Kleinstein,Racaillou,꼬마돌,小拳石,小拳石
0075,ゴローン,Graveler,Graveler,Graveler,Georok,Gravalanch,데구리,隆隆石,隆隆石
0076,ゴローニャ,Golem,Golem,Golem,Geowaz,Grolem,딱구리,隆隆岩,隆隆岩
0077,ポニータ,Ponyta,Ponyta,Ponyta,Ponita,Ponyta,포니타,小火马,小火馬
0078,ギャロップ,Rapidash,Rapidash,Rapidash,Gallopa,Galopa,날쌩마,烈焰马,烈焰馬
0079,ヤドン,Slowpoke,Slowpoke,Slowpoke,Flegmon,Ramoloss,야돈,呆呆兽,呆呆獸
0080,ヤドラン,Slowbro,Slowbro,Slowbro,Lahmus,Flagadoss,야도란,呆壳兽,呆殼獸
0081,コイル,Magnemite,Magnemite,Magnemite,Magnetilo,Magneti,코일,小磁怪,小磁怪
0082,レアコイル,Magneton,Magneton,Magneton,Magneton,Magneton,레어코일,三合一磁怪,三合一磁怪
0083,カモネギ,Farfetch'd,Farfetch'd,Farfetch'd,Porenta,Canarticho,파오리,大葱鸭,大蔥鴨
0084,ドードー,Doduo,Doduo,Doduo,Dodu,Doduo,두두,嘟嘟,嘟嘟
0085,ドードリオ,Dodrio,Dodrio,Dodrio,Dodri,Dodrio,두트리오,嘟嘟利,嘟嘟利
0086,パウワウ,Seel,Seel,Seel,Jurob,Otaria,쥬쥬,小海狮,小海獅
0087,ジュゴン,Dewgong,Dewgong,Dewgong,Jugong,Lamantine,쥬레곤,白海狮,白海獅
0088,ベトベター,Grimer,Grimer,Grimer,Sleima,Tadmorv,질퍽이,臭泥,臭泥
0089,ベトベトン,Muk,Muk,Muk,Sleimok,Grotadmorv,질뻐기,臭臭泥,臭臭泥
0090,シェルダー,Shellder,Shellder,Shellder,Muschas,Kokiyas,셀러,大舌贝,大舌貝
0091,パルシェン,Cloyster,Cloyster,Cloyster,Austos,Crustabri,파르셀,刺甲贝,刺甲貝
0092,ゴース,Gastly,Gastly,Gastly,Nebulak,Fantominus,고오스,鬼斯,鬼斯
0093,ゴースト,Haunter,Haunter,Haunter,Alpollo,Spectrum,고우스트,鬼斯通,鬼斯通
0094,ゲンガー,Gengar,Gengar,Gengar,Gengar,Ectoplasma,팬텀,耿鬼,耿鬼
0095,イワーク,Onix,Onix,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇
0096,スリープ,Drowzee,Drowzee,Drowzee,Traumato,Soporifik,슬리프,催眠貘,催眠貘
0097,スリーパー,Hypno,Hypno,Hypno,Hypno,Hypnomade,슬리퍼,引梦貘人,引夢貘人
0098,クラブ,Krabby,Krabby,Krabby,Krabby,Krabby,크랩,大钳蟹,大鉗蟹
0099,キングラー,Kingler,Kingler,Kingler,Kingler,Krabboss,킹크랩,巨钳蟹,巨鉗蟹
0100,ビリリダマ,Voltorb,Voltorb,Voltorb,Voltobal,Voltorbe,찌리리공,霹雳电球,霹靂電球
0101,マルマイン,Electrode,Electrode,Electrode,Lektrobal,Electrode,붐볼,顽皮雷弹,頑皮雷彈
0102,タマタマ,Exeggcute,Exeggcute,Exeggcute,Owei,Noeunoeuf,아라리,蛋蛋,蛋蛋
0103,ナッシー,Exeggutor,Exeggutor,Exeggutor,Kokowei,Noadkoko,나시,椰蛋树,椰蛋樹
0104,カラカラ,Cubone,Cubone,Cubone,Tragosso,Osselait,탕구리,卡拉卡拉,卡拉卡拉
0105,ガラガラ,Marowak,Marowak,Marowak,Knogga,Ossatueur,텅구리,嘎啦嘎啦,嘎啦嘎啦
0106,サワムラー,Hitmonlee,Hitmonlee,Hitmonlee,Kicklee,Kicklee,시라소몬,飞腿郎,飛腿郎
0107,エビワラー,Hitmonchan,Hitmonchan,Hitmonchan,Nockchan,Tygnon,홍수몬,快拳郎,快拳郎
0108,ベロリンガ,Lickitung,Lickitung,Lickitung,Schlurp,Excelangue,내루미,大舌头,大舌頭
0109,ドガース,Koffing,Koffing,Koffing,Smogon,Smogo,또가스,瓦斯弹,瓦斯彈
0110,マタドガス,Weezing,Weezing,Weezing,Smogmog,Smogogo,또도가스,双弹瓦斯,雙彈瓦斯
0111,サイホーン,Rhyhorn,Rhyhorn,Rhyhorn,Rihorn,Rhinocorne,뿔카노,独角犀牛,獨角犀牛
0112,サイドン,Rhydon,Rhydon,Rhydon,Rizeros,Rhinoferos,코뿌리,钻角犀兽,鑽角犀獸
0113,ラッキー,Chansey,Chansey,Chansey,Chaneira,Leveinard,럭키,吉利蛋,吉利蛋
0114,モンジャラ,Tangela,Tangela,Tangela,Tangela,Saquedeneu,덩구리,蔓藤怪,蔓藤怪
0115,ガルーラ,Kangaskhan,Kangaskhan,Kangaskhan,Kangama,Kangourex,캥카,袋兽,袋獸
0116,タッツー,Horsea,Horsea,Horsea,Seeper,Hypotrempe,쏘드라,墨海马,墨海馬
0117,シードラ,Seadra,Seadra,Seadra,Seemon,Hypocean,시드라,海刺龙,海刺龍
0118,トサキント,Goldeen,Goldeen,Goldeen,Goldini,Poissirene,콘치,角金鱼,角金魚
0119,アズマオウ,Seaking,Seaking,Seaking,Golking,Poissoroy,왕콘치,金鱼王,金魚王
0120,ヒトデマン,Staryu,Staryu,Staryu,Sterndu,Stari,별가사리,海星星,海星星
0121,スターミー,Starmie,Starmie,Starmie,Starmie,Staross,아쿠스타,宝石海星,寶石海星
0122,バリヤード,Mr. Mime,Mr. Mime,Mr. Mime,Pantimos,M.Mime,마임맨,魔墙人偶,魔牆人偶
0123,ストライク,Scyther,Scyther,Scyther,Sichlor,Insecateur,스라크,飞天螳螂,飛天螳螂
0124,ルージュラ,Jynx,Jynx,Jynx,Rossana,Lippoutou,루주라,迷唇姐,迷唇姐
0125,エレブー,Electabuzz,Electabuzz,Electabuzz,Elektek,Elektek,에레브,电击兽,電擊獸
0126,ブーバー,Magmar,Magmar,Magmar,Magmar,Magmar,마그마,鸭嘴火兽,鴨嘴火獸
0127,カイロス,Pinsir,Pinsir,Pinsir,Pinsir,Scarabrute,쁘사이저,凯罗斯,凱羅斯
0128,ケンタロス,Tauros,Tauros,Tauros,Tauros,Tauros,켄타로스,肯泰罗,肯泰羅
0129,コイキング,Magikarp,Magikarp,Magikarp,Karpador,Magicarpe,잉어킹,鲤鱼王,鯉魚王
0130,ギャラドス,Gyarados,Gyarados,Gyarados,Garados,Leviator,갸라도스,暴鲤龙,暴鯉龍
0131,ラプラス,Lapras,Lapras,Lapras,Lapras,Lokhlass,라프라스,拉普拉斯,拉普拉斯
0132,メタモン,Ditto,Ditto,Ditto,Ditto,Metamorph,메타몽,百变怪,百變怪
0133,イーブイ,Eevee,Eevee,Eevee,Evoli,Evoli,이브이,伊布,伊布
0134,シャワーズ,Vaporeon,Vaporeon,Vaporeon,Aquana,Aquali,샤미드,水伊布,水伊布
0135,サンダース,Jolteon,Jolteon,Jolteon,Blitza,Voltali,쥬피썬더,雷伊布,雷伊布
0136,ブースター,Flareon,Flareon,Flareon,Flamara,Pyroli,부스터,火伊布,火伊布
0137,ポリゴン,Porygon,Porygon,Porygon,Porygon,Porygon,폴리곤,多边兽,多邊獸
0138,オムナイト,Omanyte,Omanyte,Omanyte,Amonitas,Amonita,암나이트,菊石兽,菊石獸
0139,オムスター,Omastar,Omastar,Omastar,Amoroso,Amonistar,암스타,多刺菊石兽,多刺菊石獸
0140,カブト,Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,투구,化石盔,化石盔
0141,カブトプス,Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,镰刀盔,鐮刀盔
0142,プテラ,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Ptera,프테라,化石翼龙,化石翼龍
0143,カビゴン,Snorlax,Snorlax,Snorlax,Relaxo,Ronflex,잠만보,卡比兽,卡比獸
0144,フリーザー,Articuno,Articuno,Articuno,Arktos,Artikodin,프리져,急冻鸟,急凍鳥
0145,サンダー,Zapdos,Zapdos,Zapdos,Zapdos,Electhor,썬더,闪电鸟,閃電鳥
0146,ファイヤー,Moltres,Moltres,Moltres,Lavados,Sulfura,파이어,火焰鸟,火焰鳥
0147,ミニリュウ,Dratini,Dratini,Dratini,Dratini,Minidraco,미뇽,迷你龙,迷你龍
0148,ハクリュー,Dragonair,Dragonair,Dragonair,Dragonir,Draco,신뇽,哈克龙,哈克龍
0149,カイリュー,Dragonite,Dragonite,Dragonite,Dragoran,Dracolosse,망나뇽,快龙,快龍
0150,ミュウツー,Mewtwo,Mewtwo,Mewtwo,Mewtu,Mewtwo,뮤츠,超梦,超夢
0151,ミュウ,Mew,Mew,Mew,Mew,Mew,뮤,梦幻,夢幻
0152,チコリータ,Chikorita,Chikorita,Chikorita,Endivie,Germignon,치코리타,菊草叶,菊草葉
0153,ベイリーフ,Bayleef,Bayleef,Bayleef,Lorblatt,Macronium,베이리프,月桂叶,月桂葉
0154,メガニウム,Meganium,Meganium,Meganium,Meganie,Meganium,메가니움,大竺葵,大竺葵
0155,ヒノアラシ,Cyndaquil,Cyndaquil,Cyndaquil,Feurigel,Hericendre,브케인,火球鼠,火球鼠
0156,マグマラシ,Quilava,Quilava,Quilava,Igelavar,Feurisson,마그케인,火岩鼠,火岩鼠
0157,バクフーン,Typhlosion,Typhlosion,Typhlosion,Tornupto,Typhlosion,블레이범,火暴兽,火爆獸
0158,ワニノコ,Totodile,Totodile,Totodile,Karnimani,Kaiminus,리아코,小锯鳄,小鋸鱷
0159,アリゲイツ,Croconaw,Croconaw,Croconaw,Tyracroc,Crocrodil,엘리게이,蓝鳄,藍鱷
0160,オーダイル,Feraligatr,Feraligatr,Feraligatr,Impergator,Aligatueur,장크로다일,大力鳄,大力鱷
0161,オタチ,Sentret,Sentret,Sentret,Wiesor,Fouinette,꼬리선,尾立,尾立
0162,オオタチ,Furret,Furret,Furret,Wiesenior,Fouinar,다꼬리,大尾立,大尾立
0163,ホーホー,Hoothoot,Hoothoot,Hoothoot,Hoothoot,Hoothoot,부우부,咕咕,咕咕
0164,ヨルノズク,Noctowl,Noctowl,Noctowl,Noctuh,Noarfang,야부엉,猫头夜鹰,貓頭夜鷹
0165,レディバ,Ledyba,Ledyba,Ledyba,Ledyba,Coxy,레디바,芭瓢虫,芭瓢蟲
0166,レディアン,Ledian,Ledian,Ledian,Ledian,Coxyclaque,레디안,安瓢虫,安瓢蟲
0167,イトマル,Spinarak,Spinarak,Spinarak,Webarak,Mimigal,페이검,圆丝蛛,圓絲蛛
0168,アリアドス,Ariados,Ariados,Ariados,Ariados,Migalos,아리아도스,阿利多斯,阿利多斯
0169,クロバット,Crobat,Crobat,Crobat,Iksbat,Nostenfer,크로뱃,叉字蝠,叉字蝠
0170,チョンチー,Chinchou,Chinchou,Chinchou,Lampi,Loupio,초라기,灯笼鱼,燈籠魚
0171,ランターン,Lanturn,Lanturn,Lanturn,Lanturn,Lanturn,랜턴,电灯怪,電燈怪
0172,ピチュー,Pichu,Pichu,Pichu,Pichu,Pichu,피츄,皮丘,皮丘
0173,ピィ,Cleffa,Cleffa,Cleffa,Pii,Melo,삐,皮宝宝,皮寶寶
0174,ププリン,Igglybuff,Igglybuff,Igglybuff,Fluffeluff,Toudoudou,푸푸린,宝宝丁,寶寶丁
0175,トゲピー,Togepi,Togepi,Togepi,Togepi,Togepi,토게피,波克比,波克比
0176,トゲチック,Togetic,Togetic,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
0177,ネイティ,Natu,Natu,Natu,Natu,Natu,네이티,天然雀,天然雀
0178,ネイティオ,Xatu,Xatu,Xatu,Xatu,Xatu,네이티오,天然鸟,天然鳥
0179,メリープ,Mareep,Mareep,Mareep,Voltilamm,Wattouat,메리프,咩利羊,咩利羊
0180,モココ,Flaaffy,Flaaffy,Flaaffy,Waaty,Lainergie,보송송,茸茸羊,茸茸羊
0181,デンリュウ,Ampharos,Ampharos,Ampharos,Ampharos,Pharamp,전룡,电龙,電龍
0182,キレイハナ,Bellossom,Bellossom,Bellossom,Blubella,Joliflor,아르코,美丽花,美麗花
0183,マリル,Marill,Marill,Marill,Marill,Marill,마릴,玛力露,瑪力露
0184,マリルリ,Azumarill,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,玛力露丽,瑪力露麗
0185,ウソッキー,Sudowoodo,Sudowoodo,Sudowoodo,Mogelbaum,Simularbre,꼬지모,树才怪,樹才怪
0186,ニョロトノ,Politoed,Politoed,Politoed,Quaxo,Tarpaud,왕구리,蚊香蛙皇,蚊香蛙皇
0187,ハネッコ,Hoppip,Hoppip,Hoppip,Hoppspross,Granivol,통통코,毽子草,毽子草
0188,ポポッコ,Skiploom,Skiploom,Skiploom,Hubelupf,Floravol,두코,毽子花,毽子花
0189,ワタッコ,Jumpluff,Jumpluff,Jumpluff,Papungha,Cotovol,솜솜코,毽子棉,毽子棉
0190,エイパム,Aipom,Aipom,Aipom,Griffel,Capumain,에이팜,长尾怪手,長尾怪手
0191,ヒマナッツ,Sunkern,Sunkern,Sunkern,Sonnkern,Tournegrin,해너츠,向日种子,向日種子
0192,キマワリ,Sunflora,Sunflora,Sunflora,Sonnflora,Heliatronc,해루미,向日花怪,向日花怪
0193,ヤンヤンマ,Yanma,Yanma,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
0194,ウパー,Wooper,Wooper,Wooper,Felino,Axoloto,우파,乌波,烏波
0195,ヌオー,Quagsire,Quagsire,Quagsire,Morlord,Maraiste,누오,沼王,沼王
0196,エーフィ,Espeon,Espeon,Espeon,Psiana,Mentali,에브이,太阳伊布,太陽伊布
0197,ブラッキー,Umbreon,Umbreon,Umbreon,Nachtara,Noctali,블래키,月亮伊布,月亮伊布
0198,ヤミカラス,Murkrow,Murkrow,Murkrow,Kramurx,Cornebre,니로우,黑暗鸦,黑暗鴉
0199,ヤドキング,Slowking,Slowking,Slowking,Laschoking,Roigada,야도킹,呆呆王,呆呆王
0200,ムウマ,Misdreavus,Misdreavus,Misdreavus,Traunfugil,Feuforeve,무우마,梦妖,夢妖
0201,アンノーン,Unown,Unown,Unown,Icognito,Zarbi,안농,未知图腾,未知圖騰
0202,ソーナンス,Wobbuffet,Wobbuffet,Wobbuffet,Woingenau,Qulbutoke,마자용,果然翁,果然翁
0203,キリンリキ,Girafarig,Girafarig,Girafarig,Girafarig,Girafarig,키링키,麒麟奇,麒麟奇
0204,クヌギダマ,Pineco,Pineco,Pineco,Tannza,Pomdepic,피콘,榛果球,榛果球
0205,フォレトス,Forretress,Forretress,Forretress,Forstellka,Foretress,쏘콘,佛烈托斯,佛烈托斯
0206,ノコッチ,Dunsparce,Dunsparce,Dunsparce,Dummisel,Insolourdo,노고치,土龙弟弟,土龍弟弟
0207,グライガー,Gligar,Gligar,Gligar,Skorgla,Scorplane,글라이거,天蝎,天蠍
0208,ハガネール,Steelix,Steelix,Steelix,Stahlos,Steelix,강철톤,大钢蛇,大鋼蛇
0209,ブルー,Snubbull,Snubbull,Snubbull,Snubbull,Snubbull,블루,布鲁,布魯
0210,グランブル,Granbull,Granbull,Granbull,Granbull,Granbull,그랑블루,布鲁皇,布魯皇
0211,ハリーセン,Qwilfish,Qwilfish,Qwilfish,Baldorfish,Qwilfish,침바루,千针鱼,千針魚
0212,ハッサム,Scizor,Scizor,Scizor,Scherox,Cizayox,핫삼,巨钳螳螂,巨鉗螳螂
0213,ツボツボ,Shuckle,Shuckle,Shuckle,Pottrott,Caratroc,단단지,壶壶,壺壺
0214,ヘラクロス,Heracross,Heracross,Heracross,Skaraborn,Scarhino,헤라크로스,赫拉克罗斯,赫拉克羅斯
0215,ニューラ,Sneasel,Sneasel,Sneasel,Sniebel,Farfuret,포푸니,狃拉,狃拉
