number,ja-Hrkt,en,it,es,de,fr,ko,zh-Hans,zh-Hant
0216,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,Teddiursa,Teddiursa,깜지곰,熊宝宝,熊寶寶
0217,リングマ,Ursaring,Ursaring,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
0218,マグマッグ,Slugma,Slugma,Slugma,Schneckmag,Limagma,마그마그,熔岩虫,熔岩蟲
0219,マグカルゴ,Magcargo,Magcargo,Magcargo,Magcargo,Volcaropod,마그카르고,熔岩蜗牛,熔岩蝸牛
0220,ウリムー,Swinub,Swinub,Swinub,Quiekel,Marcacrin,꾸꾸리,小山猪,小山豬
0221,イノムー,Piloswine,Piloswine,Piloswine,Keifel,Cochignon,메꾸리,长毛猪,長毛豬
0222,サニーゴ,Corsola,Corsola,Corsola,Corasonn,Corayon,코산호,太阳珊瑚,太陽珊瑚
0223,テッポウオ,Remoraid,Remoraid,Remoraid,Remoraid,Remoraid,총어,铁炮鱼,鐵炮魚
0224,オクタン,Octillery,Octillery,Octillery,Octillery,Octillery,대포무노,章鱼桶,章魚桶
0225,デリバード,Delibird,Delibird,Delibird,Botogel,Cadoizo,딜리버드,信使鸟,信使鳥
0226,マンタイン,Mantine,Mantine,Mantine,Mantax,Demanta,만타인,巨翅飞鱼,巨翅飛魚
0227,エアームド,Skarmory,Skarmory,Skarmory,Panzaeron,Airmure,무장조,盔甲鸟,盔甲鳥
0228,デルビル,Houndour,Houndour,Houndour,Hunduster,Malosse,델빌,戴鲁比,戴魯比
0229,ヘルガー,Houndoom,Houndoom,Houndoom,Hundemon,Demolosse,헬가,黑鲁加,黑魯加
0230,キングドラ,Kingdra,Kingdra,Kingdra,Seedraking,Hyporoi,킹드라,刺龙王,刺龍王
0231,ゴマゾウ,Phanpy,Phanpy,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
0232,ドンファン,Donphan,Donphan,Donphan,Donphan,Donphan,코리갑,顿甲,頓甲
0233,ポリゴン2,Porygon2,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤2,多边兽2型,多邊獸II
0234,オドシシ,Stantler,Stantler,Stantler,Damhirplex,Cerfrousse,노라키,惊角鹿,驚角鹿
0235,ドーブル,Smeargle,Smeargle,Smeargle,Farbeagle,Queulorior,루브도,图图犬,圖圖犬
0236,バルキー,Tyrogue,Tyrogue,Tyrogue,Rabauz,Debugant,배루키,无畏小子,無畏小子
0237,カポエラー,Hitmontop,Hitmontop,Hitmontop,Kapoera,Kapoera,카포에라,战舞郎,戰舞郎
0238,ムチュール,Smoochum,Smoochum,Smoochum,Kussilla,Lippouti,뽀뽀라,迷唇娃,迷唇娃
0239,エレキッド,Elekid,Elekid,Elekid,Elekid,Elekid,에레키드,电击怪,電擊怪
0240,ブビィ,Magby,Magby,Magby,Magby,Magby,마그비,鸭嘴宝宝,鴨嘴寶寶
0241,ミルタンク,Miltank,Miltank,Miltank,Miltank,Ecremeuh,밀탱크,大奶罐,大奶罐
0242,ハピナス,Blissey,Blissey,Blissey,Heiteira,Leuphorie,해피나스,幸福蛋,幸福蛋
0243,ライコウ,Raikou,Raikou,Raikou,Raikou,Raikou,라이코,雷公,雷公
0244,エンテイ,Entei,Entei,Entei,Entei,Entei,앤테이,炎帝,炎帝
0245,スイクン,Suicune,Suicune,Suicune,Suicune,Suicune,스이쿤,水君,水君
0246,ヨーギラス,Larvitar,Larvitar,Larvitar,Larvitar,Embrylex,애버라스,幼基拉斯,幼基拉斯
0247,サナギラス,Pupitar,Pupitar,Pupitar,Pupitar,Ymphect,데기라스,沙基拉斯,沙基拉斯
0248,バンギラス,Tyranitar,Tyranitar,Tyranitar,Despotar,Tyranocif,마기라스,班基拉斯,班基拉斯
0249,ルギア,Lugia,Lugia,Lugia,Lugia,Lugia,루기아,洛奇亚,洛奇亞
0250,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,凤王,鳳王
0251,セレビィ,Celebi,Celebi,Celebi,Celebi,Celebi,세레비,时拉比,時拉比
0252,キモリ,Treecko,Treecko,Treecko,Geckarbor,Arcko,나무지기,木守宫,木守宮
0253,ジュプトル,Grovyle,Grovyle,Grovyle,Reptain,Massko,나무돌이,森林蜥蜴,森林蜥蜴
0254,ジュカイン,Sceptile,Sceptile,Sceptile,Gewaldro,Jungko,나무킹,蜥蜴王,蜥蜴王
0255,アチャモ,Torchic,Torchic,Torchic,Flemmli,Poussifeu,아차모,火稚鸡,火稚雞
0256,ワカシャモ,Combusken,Combusken,Combusken,Jungglut,Galifeu,영치코,力壮鸡,力壯雞
0257,バシャーモ,Blaziken,Blaziken,Blaziken,Lohgock,Brasegali,번치코,火焰鸡,火焰雞
0258,ミズゴロウ,Mudkip,Mudkip,Mudkip,Hydropi,Gobou,물짱이,水跃鱼,水躍魚
0259,ヌマクロー,Marshtomp,Marshtomp,Marshtomp,Moorabbel,Flobio,늪짱이,沼跃鱼,沼躍魚
0260,ラグラージ,Swampert,Swampert,Swampert,Sumpex,Laggron,대짱이,巨沼怪,巨沼怪
0261,ポチエナ,Poochyena,Poochyena,Poochyena,Fiffyen,Medhyena,포챠나,土狼犬,土狼犬
0262,グラエナ,Mightyena,Mightyena,Mightyena,Magnayen,Grahyena,그라에나,大狼犬,大狼犬
0263,ジグザグマ,Zigzagoon,Zigzagoon,Zigzagoon,Zigzachs,Zigzaton,지그제구리,蛇纹熊,蛇紋熊
0264,マッスグマ,Linoone,Linoone,Linoone,Geradaks,Lineon,직구리,直冲熊,直衝熊
0265,ケムッソ,Wurmple,Wurmple,Wurmple,Waumpel,Chenipotte,개무소,刺尾虫,刺尾蟲
0266,カラサリス,Silcoon,Silcoon,Silcoon,Schaloko,Armulys,실쿤,甲壳茧,甲殼繭
0267,アゲハント,Beautifly,Beautifly,Beautifly,Papinella,Charmillon,뷰티플라이,狩猎凤蝶,狩獵鳳蝶
0268,マユルド,Cascoon,Cascoon,Cascoon,Panekon,Blindalys,카스쿤,盾甲茧,盾甲繭
0269,ドクケイル,Dustox,Dustox,Dustox,Pudox,Papinox,독케일,毒粉蛾,毒粉蛾
0270,ハスボー,Lotad,Lotad,Lotad,Loturzel,Nenupiot,연꽃몬,莲叶童子,蓮葉童子
0271,ハスブレロ,Lombre,Lombre,Lombre,Lombrero,Lombre,로토스,莲帽小童,蓮帽小童
0272,ルンパッパ,Ludicolo,Ludicolo,Ludicolo,Kappalores,Ludicolo,로파파,乐天河童,樂天河童
0273,タネボー,Seedot,Seedot,Seedot,Samurzel,Grainipiot,도토링,橡实果,橡實果
0274,コノハナ,Nuzleaf,Nuzleaf,Nuzleaf,Blanas,Pifeuil,잎새코,长鼻叶,長鼻葉
0275,ダーテング,Shiftry,Shiftry,Shiftry,Tengulist,Tengalice,다탱구,狡猾天狗,狡猾天狗
0276,スバメ,Taillow,Taillow,Taillow,Schwalbini,Nirondelle,테일로,傲骨燕,傲骨燕
0277,オオスバメ,Swellow,Swellow,Swellow,Schwalboss,Heledelle,스왈로,大王燕,大王燕
0278,キャモメ,Wingull,Wingull,Wingull,Wingull,Goelise,갈모매,长翅鸥,長翅鷗
0279,ペリッパー,Pelipper,Pelipper,Pelipper,Pelipper,Bekipan,패리퍼,大嘴鸥,大嘴鷗
0280,ラルトス,Ralts,Ralts,Ralts,Trasla,Tarsal,랄토스,拉鲁拉丝,拉魯拉絲
0281,キルリア,Kirlia,Kirlia,Kirlia,Kirlia,Kirlia,킬리아,奇鲁莉安,奇魯莉安
0282,サーナイト,Gardevoir,Gardevoir,Gardevoir,Guardevoir,Gardevoir,가디안,沙奈朵,沙奈朵
0283,アメタマ,Surskit,Surskit,Surskit,Gehweiher,Arakdo,비구술,溜溜糖球,溜溜糖球
0284,アメモース,Masquerain,Masquerain,Masquerain,Maskeregen,Maskadra,비나방,雨翅蛾,雨翅蛾
0285,キノココ,Shroomish,Shroomish,Shroomish,Knilz,Balignon,버섯꼬,蘑蘑菇,蘑蘑菇
0286,キノガッサ,Breloom,Breloom,Breloom,Kapilz,Chapignon,버섯모,斗笠菇,斗笠菇
0287,ナマケロ,Slakoth,Slakoth,Slakoth,Bummelz,Parecool,게을로,懒人獭,懶人獺
0288,ヤルキモノ,Vigoroth,Vigoroth,Vigoroth,Muntier,Vigoroth,발바로,过动猿,過動猿
0289,ケッキング,Slaking,Slaking,Slaking,Letarking,Monaflemit,게을킹,请假王,請假王
0290,ツチニン,Nincada,Nincada,Nincada,Nincada,Ningale,토중몬,土居忍士,土居忍士
0291,テッカニン,Ninjask,Ninjask,Ninjask,Ninjask,Ninjask,아이스크,铁面忍者,鐵面忍者
0292,ヌケニン,Shedinja,Shedinja,Shedinja,Ninjatom,Munja,껍질몬,脱壳忍者,脫殼忍者
0293,ゴニョニョ,Whismur,Whismur,Whismur,Flurmel,Chuchmur,소곤룡,咕妞妞,咕妞妞
0294,ドゴーム,Loudred,Loudred,Loudred,Krakeelo,Ramboum,노공룡,吼爆弹,吼爆彈
0295,バクオング,Exploud,Exploud,Exploud,Krawumms,Brouhabam,폭음룡,爆音怪,爆音怪
0296,マクノシタ,Makuhita,Makuhita,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士
0297,ハリテヤマ,Hariyama,Hariyama,Hariyama,Hariyama,Hariyama,하리뭉,铁掌力士,鐵掌力士
0298,ルリリ,Azurill,Azurill,Azurill,Azurill,Azurill,루리리,露力丽,露力麗
0299,ノズパス,Nosepass,Nosepass,Nosepass,Nasgnet,Tarinor,코코파스,朝北鼻,朝北鼻
0300,エネコ,Skitty,Skitty,Skitty,Eneco,Skitty,에나비,向尾喵,向尾喵
0301,エネコロロ,Delcatty,Delcatty,Delcatty,Enekoro,Delcatty,델케티,优雅猫,優雅貓
0302,ヤミラミ,Sableye,Sableye,Sableye,Zobiris,Tenefix,깜까미,勾魂眼,勾魂眼
0303,クチート,Mawile,Mawile,Mawile,Flunkifer,Mysdibule,입치트,大嘴娃,大嘴娃
0304,ココドラ,Aron,Aron,Aron,Stollunior,Galekid,가보리,可可多拉,可可多拉
0305,コドラ,Lairon,Lairon,Lairon,Stollrak,Galegon,갱도라,可多拉,可多拉
0306,ボスゴドラ,Aggron,Aggron,Aggron,Stolloss,Galeking,보스로라,波士可多拉,波士可多拉
0307,アサナン,Meditite,Meditite,Meditite,Meditie,Meditikka,요가랑,玛沙那,瑪沙那
0308,チャーレム,Medicham,Medicham,Medicham,Meditalis,Charmina,요가램,恰雷姆,恰雷姆
0309,ラクライ,Electrike,Electrike,Electrike,Frizelbliz,Dynavolt,썬더라이,落雷兽,落雷獸
0310,ライボルト,Manectric,Manectric,Manectric,Voltenso,Elecsprint,썬더볼트,雷电兽,雷電獸
0311,プラスル,Plusle,Plusle,Plusle,Plusle,Posipi,플러시,正电拍拍,正電拍拍
0312,マイナン,Minun,Minun,Minun,Minun,Negapi,마이농,负电拍拍,負電拍拍
0313,バルビート,Volbeat,Volbeat,Volbeat,Volbeat,Muciole,볼비트,电萤虫,電螢蟲
0314,イルミーゼ,Illumise,Illumise,Illumise,Illumise,Lumivole,네오비트,甜甜萤,甜甜螢
0315,ロゼリア,Roselia,Roselia,Roselia,Roselia,Roselia,로젤리아,毒蔷薇,毒薔薇
0316,ゴクリン,Gulpin,Gulpin,Gulpin,Schluppuck,Gloupti,꼴깍몬,溶食兽,溶食獸
0317,マルノーム,Swalot,Swalot,Swalot,Schlukwech,Avaltout,꿀꺽몬,吞食兽,吞食獸
0318,キバニア,Carvanha,Carvanha,Carvanha,Kanivanha,Carvanha,샤프니아,利牙鱼,利牙魚
0319,サメハダー,Sharpedo,Sharpedo,Sharpedo,Tohaido,Sharpedo,샤크니아,巨牙鲨,巨牙鯊
0320,ホエルコ,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鲸,吼吼鯨
0321,ホエルオー,Wailord,Wailord,Wailord,Wailord,Wailord,고래왕,吼鲸王,吼鯨王
0322,ドンメル,Numel,Numel,Numel,Camaub,Chamallot,둔타,呆火驼,呆火駝
0323,バクーダ,Camerupt,Camerupt,Camerupt,Camerupt,Camerupt,폭타,喷火驼,噴火駝
0324,コータス,Torkoal,Torkoal,Torkoal,Qurtel,Chartor,코터스,煤炭龟,煤炭龜
0325,バネブー,Spoink,Spoink,Spoink,Spoink,Spoink,피그점프,跳跳猪,跳跳豬
0326,ブーピッグ,Grumpig,Grumpig,Grumpig,Groink,Groret,피그킹,噗噗猪,噗噗豬
0327,パッチール,Spinda,Spinda,Spinda,Pandir,Spinda,얼루기,晃晃斑,晃晃斑
0328,ナックラー,Trapinch,Trapinch,Trapinch,Knacklion,Kraknoix,톱치,大颚蚁,大顎蟻
0329,ビブラーバ,Vibrava,Vibrava,Vibrava,Vibrava,Vibraninf,비브라바,超音波幼虫,超音波幼蟲
0330,フライゴン,Flygon,Flygon,Flygon,Libelldra,Libegon,플라이곤,沙漠蜻蜓,沙漠蜻蜓
0331,サボネア,Cacnea,Cacnea,Cacnea,Tuska,Cacnea,선인왕,刺球仙人掌,刺球仙人掌
0332,ノクタス,Cacturne,Cacturne,Cacturne,Noktuska,Cacturne,밤선인,梦歌仙人掌,夢歌仙人掌
0333,チルット,Swablu,Swablu,Swablu,Wablu,Tylton,파비코,青绵鸟,青綿鳥
0334,チルタリス,Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,七夕青鸟,七夕青鳥
0335,ザングース,Zangoose,Zangoose,Zangoose,Sengo,Mangriff,쟝고,猫鼬斩,貓鼬斬
0336,ハブネーク,Seviper,Seviper,Seviper,Vipitis,Seviper,세비퍼,饭匙蛇,飯匙蛇
0337,ルナトーン,Lunatone,Lunatone,Lunatone,Lunastein,Seleroc,루나톤,月石,月石
0338,ソルロック,Solrock,Solrock,Solrock,Sonnfel,Solaroc,솔록,太阳岩,太陽岩
0339,ドジョッチ,Barboach,Barboach,Barboach,Schmerbe,Barloche,미꾸리,泥泥鳅,泥泥鰍
0340,ナマズン,Whiscash,Whiscash,Whiscash,Welsar,Barbicha,메깅,鲶鱼王,鯰魚王
0341,ヘイガニ,Corphish,Corphish,Corphish,Krebscorps,Ecrapince,가재군,龙虾小兵,龍蝦小兵
0342,シザリガー,Crawdaunt,Crawdaunt,Crawdaunt,Krebutack,Colhomard,가재장군,铁螯龙虾,鐵螯龍蝦
0343,ヤジロン,Baltoy,Baltoy,Baltoy,Puppance,Balbuto,오뚝군,天秤偶,天秤偶
0344,ネンドール,Claydol,Claydol,Claydol,Lepumentas,Kaorine,점토도리,念力土偶,念力土偶
0345,リリーラ,Lileep,Lileep,Lileep,Liliep,Lilia,릴링,触手百合,觸手百合
0346,ユレイドル,Cradily,Cradily,Cradily,Wielie,Vacilys,릴리요,摇篮百合,搖籃百合
0347,アノプス,Anorith,Anorith,Anorith,Anorith,Anorith,아노딥스,太古羽虫,太古羽蟲
0348,アーマルド,Armaldo,Armaldo,Armaldo,Armaldo,Armaldo,아말도,太古盔甲,太古盔甲
0349,ヒンバス,Feebas,Feebas,Feebas,Barschwa,Barpau,빈티나,丑丑鱼,醜醜魚
0350,ミロカロス,Milotic,Milotic,Milotic,Milotic,Milobellus,밀로틱,美纳斯,美納斯
0351,ポワルン,Castform,Castform,Castform,Formeo,Morpheo,캐스퐁,飘浮泡泡,飄浮泡泡
0352,カクレオン,Kecleon,Kecleon,Kecleon,Kecleon,Kecleon,켈리몬,变隐龙,變隱龍
0353,カゲボウズ,Shuppet,Shuppet,Shuppet,Shuppet,Polichombr,어둠대신,怨影娃娃,怨影娃娃
0354,ジュペッタ,Banette,Banette,Banette,Banette,Branette,다크펫,诅咒娃娃,詛咒娃娃
0355,ヨマワル,Duskull,Duskull,Duskull,Zwirrlicht,Skelenox,해골몽,夜巡灵,夜巡靈
0356,サマヨール,Dusclops,Dusclops,Dusclops,Zwirrklop,Teraclope,미라몽,彷徨夜灵,彷徨夜靈
0357,トロピウス,Tropius,Tropius,Tropius,Tropius,Tropius,트로피우스,热带龙,熱帶龍
0358,チリーン,Chimecho,Chimecho,Chimecho,Palimpalim,Eoko,치렁,风铃铃,風鈴鈴
0359,アブソル,Absol,Absol,Absol,Absol,Absol,앱솔,阿勃梭鲁,阿勃梭魯
0360,ソーナノ,Wynaut,Wynaut,Wynaut,Isso,Okeoke,마자,小果然,小果然
0361,ユキワラシ,Snorunt,Snorunt,Snorunt,Schneppke,Stalgamin,눈꼬마,雪童子,雪童子
0362,オニゴーリ,Glalie,Glalie,Glalie,Firnontor,Oniglali,얼음귀신,冰鬼护,冰鬼護
0363,タマザラシ,Spheal,Spheal,Spheal,Seemops,Obalie,대굴레오,海豹球,海豹球
0364,トドグラー,Sealeo,Sealeo,Sealeo,Seejong,Phogleur,씨레오,海魔狮,海魔獅
0365,トドゼルガ,Walrein,Walrein,Walrein,Walraisa,Kaimorse,씨카이저,帝牙海狮,帝牙海獅
0366,パールル,Clamperl,Clamperl,Clamperl,Perlu,Coquiperl,진주몽,珍珠贝,珍珠貝
0367,ハンテール,Huntail,Huntail,Huntail,Aalabyss,Serpang,헌테일,猎斑鱼,獵斑魚
0368,サクラビス,Gorebyss,Gorebyss,Gorebyss,Saganabyss,Rosabyss,분홍장이,樱花鱼,櫻花魚
0369,ジーランス,Relicanth,Relicanth,Relicanth,Relicanth,Relicanth,시라칸,古空棘鱼,古空棘魚
0370,ラブカス,Luvdisc,Luvdisc,Luvdisc,Liebiskus,Lovdisc,사랑동이,爱心鱼,愛心魚
0371,タツベイ,Bagon,Bagon,Bagon,Kindwurm,Draby,아공이,宝贝龙,寶貝龍
0372,コモルー,Shelgon,Shelgon,Shelgon,Draschel,Drackhaus,쉘곤,甲壳龙,甲殼龍
0373,ボーマンダ,Salamence,Salamence,Salamence,Brutalanda,Drattak,보만다,暴飞龙,暴飛龍
0374,ダンバル,Beldum,Beldum,Beldum,Tanhel,Terhal,메탕,铁哑铃,鐵啞鈴
0375,メタング,Metang,Metang,Metang,Metang,Metang,메탕구,金属怪,金屬怪
0376,メタグロス,Metagross,Metagross,Metagross,Metagross,Metalosse,메타그로스,巨金怪,巨金怪
0377,レジロック,Regirock,Regirock,Regirock,Regirock,Regirock,레지락,雷吉洛克,雷吉洛克
0378,レジアイス,Regice,Regice,Regice,Regice,Regice,레지아이스,雷吉艾斯,雷吉艾斯
0379,レジスチル,Registeel,Registeel,Registeel,Registeel,Registeel,레지스틸,雷吉斯奇鲁,雷吉斯奇魯
0380,ラティアス,Latias,Latias,Latias,Latias,Latias,라티아스,拉帝亚斯,拉帝亞斯
0381,ラティオス,Latios,Latios,Latios,Latios,Latios,라티오스,拉帝欧斯,拉帝歐斯
0382,カイオーガ,Kyogre,Kyogre,Kyogre,Kyogre,Kyogre,가이오가,盖欧卡,蓋歐卡
0383,グラードン,Groudon,Groudon,Groudon,Groudon,Groudon,그란돈,固拉多,固拉多
0384,レックウザ,Rayquaza,Rayquaza,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,烈空坐,烈空坐
0385,ジラーチ,Jirachi,Jirachi,Jirachi,Jirachi,Jirachi,지라치,基拉祈,基拉祈
0386,デオキシス,Deoxys,Deoxys,Deoxys,Deoxys,Deoxys,테오키스,代欧奇希斯,代歐奇希斯
0387,ナエトル,Turtwig,Turtwig,Turtwig,Chelast,Tortipouss,모부기,草苗龟,草苗龜
0388,ハヤシガメ,Grotle,Grotle,Grotle,Chelcarain,Boskara,수풀부기,树林龟,樹林龜
0389,ドダイトス,Torterra,Torterra,Torterra,Chelterrar,Torterra,토대부기,土台龟,土台龜
0390,ヒコザル,Chimchar,Chimchar,Chimchar,Panflam,Ouisticram,불꽃숭이,小火焰猴,小火焰猴
0391,モウカザル,Monferno,Monferno,Monferno,Panpyro,Chimpenfeu,파이숭이,猛火猴,猛火猴
0392,ゴウカザル,Infernape,Infernape,Infernape,Panferno,Simiabraz,초염몽,烈焰猴,烈焰猴
0393,ポッチャマ,Piplup,Piplup,Piplup,Plinfa,Tiplouf,팽도리,波加曼,波加曼
0394,ポッタイシ,Prinplup,Prinplup,Prinplup,Pliprin,Prinplouf,팽태자,波皇子,波皇子
0395,エンペルト,Empoleon,Empoleon,Empoleon,Impoleon,Pingoleon,엠페르트,帝王拿波,帝王拿波
0396,ムックル,Starly,Starly,Starly,Staralili,Etourmi,찌르꼬,姆克儿,姆克兒
0397,ムクバード,Staravia,Staravia,Staravia,Staravia,Etourvol,찌르버드,姆克鸟,姆克鳥
0398,ムクホーク,Staraptor,Staraptor,Staraptor,Staraptor,Etouraptor,찌르호크,姆克鹰,姆克鷹
0399,ビッパ,Bidoof,Bidoof,Bidoof,Bidiza,Keunotor,비버니,大牙狸,大牙狸
0400,ビーダル,Bibarel,Bibarel,Bibarel,Bidifas,Castorno,비버통,大尾狸,大尾狸
0401,コロボーシ,Kricketot,Kricketot,Kricketot,Zirpurze,Crikzik,귀뚤뚜기,圆法师,圓法師
0402,コロトック,Kricketune,Kricketune,Kricketune,Zirpeise,Melokrik,귀뚤톡크,音箱蟀,音箱蟀
0403,コリンク,Shinx,Shinx,Shinx,Sheinux,Lixy,꼬링크,小猫怪,小貓怪
0404,ルクシオ,Luxio,Luxio,Luxio,Luxio,Luxio,럭시오,勒克猫,勒克貓
0405,レントラー,Luxray,Luxray,Luxray,Luxtra,Luxray,렌트라,伦琴猫,倫琴貓
0406,スボミー,Budew,Budew,Budew,Knospi,Rozbouton,꼬몽울,含羞苞,含羞苞
0407,ロズレイド,Roserade,Roserade,Roserade,Roserade,Roserade,로즈레이드,罗丝雷朵,羅絲雷朵
0408,ズガイドス,Cranidos,Cranidos,Cranidos,Koknodon,Kranidos,두개도스,头盖龙,頭蓋龍
0409,ラムパルド,Rampardos,Rampardos,Rampardos,Rameidon,Charkos,램펄드,战槌龙,戰槌龍
0410,タテトプス,Shieldon,Shieldon,Shieldon,Schilterus,Dinoclier,방패톱스,盾甲龙,盾甲龍
0411,トリデプス,Bastiodon,Bastiodon,Bastiodon,Bollterus,Bastiodon,바리톱스,护城龙,護城龍
0412,ミノムッチ,Burmy,Burmy,Burmy,Burmy,Cheniti,도롱충이,结草儿,結草兒
0413,ミノマダム,Wormadam,Wormadam,Wormadam,Burmadame,Cheniselle,도롱마담,结草贵妇,結草貴婦
0414,ガーメイル,Mothim,Mothim,Mothim,Moterpel,Papilord,나메일,绅士蛾,紳士蛾
0415,ミツハニー,Combee,Combee,Combee,Wadribie,Apitrini,세꿀버리,三蜜蜂,三蜜蜂
0416,ビークイン,Vespiquen,Vespiquen,Vespiquen,Honweisel,Apireine,비퀸,蜂女王,蜂女王
0417,パチリス,Pachirisu,Pachirisu,Pachirisu,Pachirisu,Pachirisu,파치리스,帕奇利兹,帕奇利茲
0418,ブイゼル,Buizel,Buizel,Buizel,Bamelin,Mustebouee,브이젤,泳圈鼬,泳圈鼬
0419,フローゼル,Floatzel,Floatzel,Floatzel,Bojelin,Musteflott,플로젤,浮潜鼬,浮潛鼬
0420,チェリンボ,Cherubi,Cherubi,Cherubi,Kikugi,Ceribou,체리버,樱花宝,櫻花寶
0421,チェリム,Cherrim,Cherrim,Cherrim,Kinoso,Ceriflor,체리꼬,樱花儿,櫻花兒
0422,カラナクシ,Shellos,Shellos,Shellos,Schalellos,Sancoki,깝질무,无壳海兔,無殼海兔
0423,トリトドン,Gastrodon,Gastrodon,Gastrodon,Gastrodon,Tritosor,트리토돈,海兔兽,海兔獸
0424,エテボース,Ambipom,Ambipom,Ambipom,Ambidiffel,Capidextre,겟핸보숭,双尾怪手,雙尾怪手
0425,フワンテ,Drifloon,Drifloon,Drifloon,Driftlon,Baudrive,흔들풍손,飘飘球,飄飄球
0426,フワライド,Drifblim,Drifblim,Drifblim,Drifzepeli,Grodrive,둥실라이드,随风球,隨風球
0427,ミミロル,Buneary,Buneary,Buneary,Haspiror,Laporeille,이어롤,卷卷耳,捲捲耳
